69D2E7	A7DBD8	E0E4CC	F38630	FA6900
FFFFFF	FF97CA	FF348E	BE0049	770021
0CCABA	E3F5B7	E6AE00	D46700	9E3F00
D6D578	B1BF63	9DAD42	258A60	0A3740
B7AEA5	F77014	E33C08	433D3D	221D21
D9D9DB	B7AE8F	978F84	4A362F	121210
3F264D	5D2747	9F3647	DB4648	FB9553
D45E80	C6838C	CFBF9E	F7DEA8	F6BE5F
EFECE2	81D7CD	FF0048	B13756	5B1023
A8AB84	000000	C6C99D	0C0D05	E7EBB0
FF667C	FBBAA4	F9E5C0	2C171C	B6D0A0
2C2B4B	A75293	9C7A9D	9DDACB	F8DCB4
99CCCC	A8BDC2	B8AEB8	C79EAD	D78FA3
D1F7BA	DBDEA6	D1BD95	8C686B	391B4A
F4FCE2	D3EBC7	AABFAA	BF9692	FC0284
0D0210	4D3147	866A80	C9B7C7	FFFBFF
E1E6E3	BFD6C7	C7BD93	FF7876	574B45
E9D7A9	D2D09F	D5A57F	B56A65	4B3132
FFE6BD	FFCC7A	E68A6C	8A2F62	260016
1A2B2B	332222	4D1A1A	661111	800909
3C515D	3D6868	40957F	A7C686	FCEE8C
D24D6C	AD8484	D9D5BB	C1858F	B05574
FF8591	EFAAA3	8CAAA2	5A9B95	44878F
ABECE4	C4D004	FF9F15	FB7991	926D40
FB6F24	8CA315	5191C1	1E6495	0A4B75
EDF3C5	F2CC49	B7BE5F	24B399	2D1C28
5D917D	FFF9DE	CDD071	B81C48	632739
F6B149	F8572D	DF2A33	A22543	6B312D
F5C8BF	E0D2C5	CAD9CA	A7E3C1	495453
75727A	997F87	B88C87	D39679	F3A76D
95AA61	121310	F6F8EE	D6E68A	899752
DE4C45	D9764D	CC9E8A	C1C5C7	EBDFC6
F5EA95	FC8E5B	FC5956	C93E4F	3D1734
16C1C8	49CCCC	7CD7CF	AEE1D3	E1ECD6
FCD8AF	FEC49B	FE9B91	FD6084	045071
F19601	F21F26	251819	EBC83A	73B295
FCF9CE	C4E0A6	DEA37A	BD3737	D54C4A
EBEBAB	78BD91	4D8F81	9B4B54	F22B56
FFFFF7	E9FCCF	D8FCB3	B1FCB3	89FCB3
551BB3	268FBE	2CB8B2	3DDB8F	A9F04D
04394E	00875E	A7CC15	F5CC17	F56217
C3B68C	6E5B54	B94866	AFB7A0	F4EED4
200E38	6A0E47	B50D57	FF0D66	DEC790
689195	050000	AB8288	CEA4A6	FFCDC5
7F135F	A0667A	C2B895	C4CAB0	C7DCCA
B6D9C3	C6A9AC	D48299	E64E81	FD0A60
CAD5AD	F9DF94	F6A570	E77A77	54343F
73C5AA	C6C085	F9A177	F76157	4C1B05
CF3A69	8F4254	7CAA96	B6C474	D4D489
7E949E	AEC2AB	EBCEA0	FC7765	FF335F
020202	493D3F	BDB495	F8F2CE	D8D989
F8DB7E	EC6349	CE2340	6F1B2C	310A26
88D1CA	DED6C9	E68A2E	C90A00	452B34
741952	FE3174	F1C15D	94BB68	09A3AD
8D1042	A25D47	A08447	97AA66	B8B884
F0F0D8	D8D8C0	7A8370	DF8615	F84600
516D7D	2A728E	9D870C	F93F03	F9EEE2
D8F5D1	9DDBCA	92B395	726C81	565164
FCF6D2	FCF6D2	FBE2B9	C6C39A	281F20
939473	4F784E	2D5E4C	13444D	252326
9E9E9E	5ECDE0	00FFF2	C4FFC9	E0E0E0
807070	9A8FC8	8DBDEB	A5E6C8	D9F5B5
0F132E	19274E	536D88	B49B85	EAC195
1F2F3A	98092B	DF931B	E0DAA3	9FB982
F9F9E7	505045	161613	C0A1AE	C1E0E0
BFE4CD	DDB37D	FA8331	FB4848	FD0A60
EF4335	F68B36	F2CD4F	CAE081	88EED0
CBDAD5	89A7B1	566981	3A415A	34344E
C39738	FFFF96	7F4311	5E4318	361F00
B68810	301406	7F9473	D3C795	C02C20
423431	F70B17	050000	9A8C29	E7CBA4
FFFFFF	000000	FF006F	FFB300	FFF538
5A3938	847B6D	A3AB98	D2D5AF	DFA49B
524E4E	FF2B73	FF5A6A	FF9563	FFCD37
3E3742	825E65	CC8383	EBC4A9	E6E0C5
E85A50	FEFFD6	5BB7B6	010002	FDF37A
F7F4E8	DAF3EA	85E6C0	6BB39B	0B0B0D
404467	5C627A	A3B6A2	B2CCAF	FFFAAC
670D0F	F01945	F36444	FFCE6F	FFE3C9
541E35	DF5D2E	FFB43E	A4C972	6BB38E
4A3333	E1473F	9A9088	80B0AB	DBD1B3
0F7D7E	76B5A0	FFFDD1	FF7575	D33649
FEF1E0	F6E6CE	3B2E2A	3F0632	A47F1A
F1FFD5	D6E6B7	A35481	B8136F	EA0063
79ABA2	B4B943	B7833A	A04B26	301E1A
6C788E	A6AEC1	CFD5E1	EDEDF2	FCFDFF
220114	811628	BD3038	FF7E57	F8B068
EEC77A	E77155	C71755	7B3336	5B9B9A
D0DCCB	D7C7BE	B3C5BA	88C3B5	6D6168
58534C	F1D3AB	DBCE79	F95842	0EAEAB
FFEEC2	FE9E8E	F80174	C4037A	322C8E
33242B	E30842	FC4630	FF9317	C4FF0D
3A3232	D83018	F07848	FDFCCE	C0D8D8
2F1335	620E5D	9D007A	CE3762	FF6E49
D94052	EE7E4C	EAD56C	94C5A5	898B75
CC8F60	B7A075	9EB48E	8CC2A0	77D4B6
CB6F84	291D21	5D544D	CFCCBB	E1DACA
582770	773D94	943D8A	C22760	E81764
3B3E37	E19563	9FB39B	D39088	F0DDB5
942222	BD3737	D4CDAD	98C3A1	25857D
22806B	A89F1D	FACB4B	FCAF14	ED7615
281B24	D02941	F57E67	D9C9A5	8CAB94
FB545C	99662D	B7E1A1	CDEDA1	FDF5A4
FF8D7B	C88984	947280	D6B58C	DCD392
FE958F	F3D7C2	8BB6A3	17A7A8	122F51
D2FAE2	E6F8B1	F6D5AD	F6B794	E59DA0
FE9600	FFC501	FFEE4A	77477E	03001C
281916	E86786	F4A1B5	FFD2CB	96B5AD
8E3F65	73738D	72A5AE	98E9D0	D8FFCC
DFCCCC	FFD3D3	FFA4A4	D17878	965959
D3DBD9	A4BDBC	FFDABF	FFBF91	FF9A52
E0DCB8	C4BC16	918F61	C21F40	302C25
2A1E1E	503850	AA6581	F99FA9	FFC5C1
AF0745	FA4069	FE9C6B	FCDA90	C8B080
636363	85827E	D1B39F	FFECD1	FFD1B3
B19676	766862	92BF9F	E3D49C	F9F0B7
84B295	ECCF8D	BB8138	AC2005	2C1507
F5D393	F39772	EB6765	261329	1A0B2A
E4F3D8	AFCACC	FFA02E	E80560	331D4A
81749C	4D3E6B	8DAEC3	C5DFE0	FCFCE2
555231	9C8C51	BCAC71	E9DB9C	79927D
EBE7A7	A7EBC9	78B395	917C67	5E5953
D2D2D2	58AFB8	269199	EC225E	020305
EC6363	EC7963	ECB163	DFD487	BDEBCA
160D18	23145B	09456C	026F6E	1CA39E
4D4D4D	637566	A39C67	D69E60	FF704D
1C31A5	101F78	020F59	010937	000524
5E3848	666163	A7B381	CAD197	CDE0BF
3D2304	7F6000	DEB069	C41026	3D0604
CF0638	FA6632	FECD23	0A996F	0A6789
001F21	029B99	EBE7B7	DE4F15	ECC039
907071	7BBDA1	A4D9A3	C6D7A0	FBDCB0
FFF4CE	D0DEB8	FFA492	FF7F81	FF5C71
400E28	992F4D	F25872	F08E73	E8B787
AD2003	E0E6AE	BDD3B6	836868	5F0609
282832	77181E	A92727	C6D6D6	DEE7E7
96B5A6	FCE1CB	FEBEAC	4E383D	D9434F
EEAEAA	DAAEAA	C6AEAA	B2AEAA	9EAEAA
FB6A3D	FBE5AC	361D20	A2BC97	F7CD67
9AEDB5	AB9A89	A3606D	4F2D4B	291E40
8E978D	97C4AD	BFEDBE	E6FCD9	CDF2D6
FB7968	F9C593	FAFAD4	B0D1B2	89B2A2
092B5A	09738A	78A890	9ED1B7	E7D9B4
C92C2C	CF6123	F3C363	F1E9BB	5C483A
EF7270	EE9F80	F3ECBE	CDAF7B	59291B
F28A49	F7E3B2	E3967D	57342D	9DBFA4
FF4000	FFEFB5	319190	FFC803	260D0D
4ACABB	CBE5C0	FCF9C2	EDC5BD	84407B
817A8A	CDBBBB	FCDDC8	FFFEEA	EFCABA
D6496C	7DB8A2	D6DD90	FFFAD3	7E638C
C75F77	FEFAB6	77A493	836177	654B49
CDB27B	DE7C04	E4211B	C00353	5E2025
D1DC5A	E0F7E0	77F2DE	6AC5CB	45444E
F2F2F2	348E91	1C5052	213635	0A0C0D
420B58	FC036C	F1A20B	8D9C09	08807B
FB6066	FFEFC1	FDD86E	FFA463	F66B40
2A0308	924F1B	E2AC3F	F8EBBE	7BA58D
966C80	96BDA8	BFD4AD	F7D3A3	ECA36C
92B2A7	6E7B8C	B69198	EFA09B	E7C7B0
E0BE7E	E89D10	DB4B23	382924	136066
504375	39324D	FFE8EF	C22557	ED5887
1A110E	4E051C	F7114B	C4B432	BCB7AB
BEED80	59D999	31ADA1	51647A	453C5C
2F2E30	E84B2C	E6D839	7CD164	2EB8AC
F0DEBB	59A87D	16453F	091C1A	541734
BECEC4	688A7C	9D7C5B	E35241	E49183
281A1A	4E2D28	70454E	AE736F	DDA8B0
A2825C	88D3AB	F9FAD2	F5DA7A	FF985E
C9AD9B	FFBDA1	E05576	703951	452A37
8D9C9D	E00B5B	F5B04B	FCDFBD	45373E
B0DA09	F99400	F00A5E	B80090	544F51
EFD8A4	E8AE96	E49D89	E47F83	A8C99E
A1A6AA	BD928B	DE7571	FF4E44	282634
E5E5E5	F1DBDA	FCD0CF	CFBDBF	A2A9AF
62462A	01FFAC	8FF638	A2FA1B	855D46
F67968	F67968	F68C68	F68C68	F6A168	F6A168	F6B868	F6B868	F6C968	F6C968
C0B19E	FFB48F	F68B7B	F6464A	911440
FFFFE5	DFFDA7	6ECF42	31A252	6B456C
FAF4E0	D2FF1F	FFC300	FF6A00	3B0C2C
40122C	656273	59BAA9	D8F171	FCFFD9
070743	169D99	B9CC01	FAE894	AB0768
FFFFFF	5E9188	3E5954	253342	232226
F5E1A4	D9D593	EE7F27	BC162A	302325
93BA85	BDA372	F49859	FF494B	5E363F
FFF7BC	FEE78A	F8A348	E15244	3A7B50
61D4B0	8EE696	BAF77C	E8FF65	ECEDD5
CDE9CA	CED89D	DFBA74	E8A249	575E55
2A8B8B	75C58E	BFFF91	DFE9A8	FFD2BF
EDA08C	876F55	A19153	B1B080	B1CEAF
F46472	F2ECC3	FFF9D8	BED6AB	999175
3B5274	9C667D	CE938B	E8CC9C	E3E1B1
FFFFC2	F0FFC2	E0FFC2	D1FFC2	C2FFC2
2F2C2B	413726	79451D	D7621A	FD8D32
110303	C3062C	FF194B	8FA080	708066
FDEC6F	F2E9B0	ECDFDB	EDE3FB	FEDFAE
96958A	76877D	88B8A9	B2CBAE	DBDDB4
FDF2C5	EFE8B2	C6D1A6	82BFA0	7A6F5D
010D23	03223F	038BBB	FCCB6F	E19F41
000000	7890A8	304878	181848	F0A818
D8C358	6D0839	D0E799	25271E	FBEFF4
D8D3AB	B0B19F	784D5F	BA456A	D04969
2B2318	524835	56704B	5D9E7E	78B3A4
615C5C	E30075	FF4A4A	FFB319	EBE8E8
89666D	D2C29F	E3A868	F76F6D	F2306D
07F9A2	09C184	0A8967	0C5149	0D192B
D0D167	FFFCFF	E6DDDC	FF0C66	969BA2
F00065	FA9F43	F9FAD2	262324	B3DBC8
C3AAA5	D76483	EF9CA4	FFC2BB	F6E5CB
F8DAC2	F2A297	F4436F	CA1444	142738
C3D297	FFFFFF	C3B199	3A2D19	E8373E
368986	E79A32	F84339	D40F60	005C81
B7B09E	493443	EB6077	F0B49E	F0E2BE
F7E6BE	E89A80	A93545	4D4143	485755
AAAA91	848478	5E5E5E	383845	12122B
D5D8C7	D4D6CE	D3D5D5	D1D3DC	D0D2E3
30182B	F0F1BC	60F0C0	FF360E	191F04
352640	92394B	A9767A	D1B4A2	F1F2CE
330708	E84624	E87624	E8A726	E8D826
2F003F	BE0001	FF8006	F3C75F	E9CFAA
06D9B6	A4F479	D4D323	D13775	9C3C86
548C82	D1CE95	FCFADE	D55D63	452D3D
BECB7C	84967E	962C4C	F05D67	FAA191
678C99	B8C7CC	FFF1CF	D6C292	B59E67
7CD9D6	D4BF5A	DE7A47	C43738	2A1310
4AEDD7	705647	ED6D4A	FFCA64	3FD97F
382A2A	FF3D3D	FF9D7D	E5EBBC	8DC4B7
F7C097	829D74	DE3C2F	EB5F07	F18809
D3C6CC	E2C3C6	EECFC4	F8E6C6	FFFFCC
FF5252	FF7752	FF9A52	FFB752	5E405B
B8C45A	E880A2	F2D44E	FAF5F5
81657E	3EA3AF	9FD9B3	F0F6B9	FF1D44
3B0503	F67704	F85313	FEDC57	9ECFBC
140D1A	42142A	FF2E5F	FFD452	FAEECA
DB3026	E88A25	F9E14B	EFED89	7ABF66
5E0324	692764	7B7893	7FB1A8	94F9BF
2B2C30	35313B	453745	613C4C	FF1457
F9EBC4	FFB391	FC2F68	472F5F	08295E
EDFFB3	99928E	BFE3C3	DBEDC2	FFF2D4
21203F	FFF1CE	E7BFA5	C5A898	4B3C5D
FE495F	FE9D97	FFFEC8	D8FD94	BDED7E
333237	FB8351	FFAD64	E9E2DA	ADD4D3
FCF7D7	FEA667	FFE461	C4C776	F4D092
E8608C	71CBC4	FFF9F4	CDD56E	FFBD68
66FFFF	8CBFE6	B380CC	D940B3	FF0099
D4CDC5	5B88A5	F4F4F2	191013	243A69
9D9382	FFC1B2	FFDBC8	FFF6C7	DCD7C2
FF548F	9061C2	BE80FF	63D3FF	02779E
471754	991D5D	F2445E	F07951	DEC87A
F5F5F5	E9E9E9	006666	008584	CCCCCC
829B86	96B7A2	A6AA56	B4B969	DFDB9C
050003	496940	93842F	FFA739	FCE07F
3D0A49	5015BD	027FE9	00CAF8	E0DAF7
A6E094	E8E490	F07360	BF2A7F	5C3D5B
F5E3AE	FFF5D6	E1E6D3	B1CCC4	4E5861
240F03	4B2409	BD7A22	E79022	DF621C
260D33	003F69	106B87	157A8C	B3ACA4
FF9B8F	EF7689	9E6A90	766788	71556B
6EA49B	D9D0AC	6B8F0B	7D3F60	372B2E
FFFEC7	E1F5C4	9DC9AC	919167	FF4E50
F2E7D2	F79EB1	AE8FBA	4C5E91	473469
FBE4AE	DACB8A	897632	392E0E	6BB88A
DACDAC	F39708	F85741	0E9094	1E1801
A7848B	B88F93	F5D5C6	F9EFD4	B8CABE
622824	2F0618	412A9C	1B66FF	00CEF5
E5E6B8	C6D4B8	6CA6A3	856A6A	9C325C
10100F	26503C	849112	9D4E0F	840943
F35C9F	F3F3F3	22ADC2	736F66
6D165A	A0346E	EC5C8D	FF8C91	FFC4A6
FA7785	24211A	D5D87D	B1D4B6	53CBBF
C1DDC7	F5E8C6	BBCD77	DC8051	F4D279
801245	F4F4DD	DCDBAF	5D5C49	3D3D34
F2D786	FF9784	C09491	A4C09A	D4D9A1
85B394	A7BA59	F0F0D8	F0D890	AE2F27
E1EDD1	AAB69B	9E906E	B47941	CF391D
46294A	AD4C6B	E07767	E0AE67	D4E067
EDD8BB	E2AA87	FEF7E1	A2D3C7	EF8E7D
37AB98	80BC96	A6C88C	E1CE8A	37053B
E4FFD4	EBE7A7	EDC68E	A49E7E	6E8F85
D6CE8B	8FD053	02907D	03453D	2C1001
E81E4A	0B1D21	078A85	68BAAB	EDD5C5
AF162A	95003A	830024	5A0E3D	44021E
070705	3E4B51	6F737E	89A09A	C1C0AE
E4A691	F7EFD8	C8C8A9	556270	273142
3B331F	ED6362	FF8E65	DCEB5B	58CE74
259B9B	6FBCAA	B8D6B0	FEEDBF	FF1964
17181F	314D4A	0B8770	A6C288	EBE68D
9CD6C8	F1FFCF	F8DF82	FAC055	E57C3A
F7F3CF	C2E4CB	36CECC	27B1BF	176585
24434B	FC325B	FA7F4B	BFBC84	63997A
865A19	C4B282	85005B	520647	0E002F
2EB3A1	4FB37C	79B36B	A2AB5E	BCA95B
E6626F	EFAE78	F5E19C	A2CA8E	66AF91
EFE2BF	F5A489	EF8184	A76378	A8C896
585D5D	E06F72	E7A17A	E4B17D	D1CBC0
CDB28A	F9F4E3	D4DDB1	B1BA8E	7A6448
3B4344	51615B	BBBD91	F06F6B	F12F5D
574D4F	FFFFFF	969091	FFE999	FFD952
B9030F	9E0004	70160E	161917	E1E3DB
243757	3A5F6F	DAD5B7	C2B79B	665E52
4E031E	5D2D4E	5A4C6E	447390	05A1AD
02FCF3	A9E4CF	CAE0C8	DEDDC4	E8E7D2
68B2F8	506EE5	7037CD	651F71	1D0C20
878286	88B6A3	BDBA9E	E2C18D	E2BB64
FAB96B	F19474	EA777B	94919A	69A2A8
72BAB0	F0C69C	D1284F	9E0E30	301A1A
C0B698	647E37	300013	6E9A81	D2C8A7
010300	314C53	5A7F78	BBDEC6	F7F8FC
4E3150	C7777F	B6DEC1	D6ECDF	FBF6B5
D0DCB3	DABD90	DF7670	F4065E	837D72
E7DDD3	C0C2BD	9C9994	29251C	E6AA9F
322F3E	E63C6D	F5B494	EDE7A5	ABDECB
648285	B4A68E	080D0D	F3DAAA	A3C4C2
3A3132	0F4571	386DBD	009DDD	05D3F8
594747	6743A5	7345D6	2E2E2E	BFAB93
FFF7E5	FECDD0	F8AFB8	F5A3AF	59483E
FB573B	4F393C	8EA88D	9CD0AC	F4EB9E
530D0D	F5FFC0	1A1202	342A14
EBE5CE	CED1C0	BAD1C9	8C162A	660022
02031A	021B2B	B10C43	FF0841	EBDFCC
BBAA9A	849B95	90856F	B6554C	D83A31
CBE4EA	EAD1CB	AF9C98	657275	000000
F75E50	EAC761	E8DF9C	91C09E	7D7769
63072C	910F43	A65D53	D59500	F7F7A1
1F192F	2D6073	65B8A6	B5E8C3	F0F7DA
8FBFB9	649EA7	BDDB88	E0F3B2	EEFAA8
C5F7F0	A9C2C9	8E8CA3	72577C	562155
A69A81	E0D3B8	EB9E6E	EB6E6E	706F6B
E72313	FFFCF7	67B588	65A675	141325
1F0441	FC1068	FCAB10	F9CE07	0CE3E8
4D4250	B66E6F	CF8884	E6A972	F6D169
2A091C	87758F	85AAB0	A3C3B8	E3EDD2
F3FFD2	BFF1CE	82BDA7	6E837C	2E0527
463A2A	5C4B37	DDDD92	57C5C7	00B5B9
C9031A	9D1722	4A2723	07A2A6	FFECCB
FA3419	F3E1B6	7CBC9A	23998E	1D5E69
A89D87	BAB100	F91659	B31D6A	2E2444
87B091	C4D4AB	E0E0B6	171430	EFF0D5
FF7C70	F2DFB1	B7C9A9	674D69	2E292E
DECBA0	A0AB94	6B9795	594461	6E1538
4B1623	75233D	C4594B	F0B96B	FDF57E
00686C	32C2B9	EDECB3	FAD928	FF9915
211C33	2B818C	FFC994	ED2860	990069
CC063E	E83535	FD9407	E2D9C2	10898B
11091A	2F2F4D	626970	BAB195	E8D18E
40223C	42988F	B1C592	F1DDBA	FB718A
A9BAAE	E6D0B1	DEB297	C98D7B	8A6662
79D6B7	CCD6BD	D7C3AB	F0AFAB	F58696
000000	A69682	7E9991	737373	D8770C
A4F7D4	9AE07D	ADA241	A13866	381C30
E5FEC5	C5FEC6	A3FEC7	29FFC9	392A35
E0EEBD	DAE98A	E17572	CE1446	2B0B16
7E6762	CF5A60	F85A69	F0B593	E3DFBC
484450	466067	459A96	34BAAB	C4C8C5
F2ECB0	EBB667	D65C56	823C3C	1B1C26
FBFFCC	CAF2BE	DDC996	F67975	F13565
3B1A01	A5CC7A	DCFFB6	633B1C	DB3C6E
F8F8D6	B3C67F	5D7E62	50595C	FA3E3E
723E4E	B03851	EF3353	F17144	F4B036
FFDEB3	73BC91	342220	FC370C	FF8716
CAF729	79DD7E	2ECBAA	21B6B6	888DDA
C7003F	F90050	F96A00	FAAB00	DAF204
0E0036	4C264B	A04F62	D2A391	E6D7B8
B9F8F0	B6D3A5	EE9B57	EF2B41	11130E
52493A	7C8569	A4AB80	E8E0AE	DE733E
FEF7D5	ABEE93	2D938E	0B4462	F7A48B
E4E2AF	FFA590	E5CBB4	FFF1D7	56413E
320139	331B3B	333E50	5C6E6E	F1DEBD
F3B578	F78376	DA4C66	8F3C68	3F3557
5C1B35	D43F5D	F2A772	E8D890	E2EDB7
E3604D	D1C8A3	ACBA9D	7B5D5E	C6AD71
40FFDC	00A9D4	1C3166	240047	1C0021
F4FCB8	DAE681	95A868	452C18	CC7254
FFE3B3	FF9A52	FF5252	C91E5A	3D2922
CCE4D1	D2E1A7	D8DE7D	DEDB53	E4D829
412973	753979	B1476D	EB9064	BED9C8
300D28	70615C	8CA38B	F7EEAA	EDB552
3B3F49	FDFAEB	FAEDDF	F3C6B9	F7A29E
394736	696B46	B99555	A8462D	5C584C
F1F7CD	D3F7CD	B5F7CD	403A26	81876C
1A0C12	F70A71	FFDAA6	FFB145	74AB90
E2E2B2	49FECF	370128	E42355	FE7945
48586F	FFFFC0	D6C496	D62E2E	283D3E
5E5473	19B5A5	EDE89D	FF6933	FF0048
99DB49	069E8C	211D19	575048	9E064A
665C52	74B3A7	A3CCAF	E6E1CF	CC5B14
8F9044	F8A523	FC8020	CF1500	352F3D
F8F4C4	D5E0B5	A5C3A7	6D8B89	47667B
FFFFEA	A795A5	7A959E	424E5E	3B2B46
E6E6E6	AAE6D9	C8CBC1	E6B0AA	A1A1A1
F7FD91	D09E1E	FA7A32	F42A55	261323
383939	149C68	38C958	AEE637	FFFEDB
FEA304	909320	125A44	37192C	220315
E6546B	DA8F72	FFE792	C9DAA4	8ACBB5
7D677E	4F2C4D	360B41	CCC9AA	FAFDEA
E4B302	158FA2	DE4F3A	722731	BD1B43
0B110D	2C4D56	C3AA72	DC7612	BD3200
090F13	171F25	752E2B	C90A02	F2EAB7
BD2A33	D6AA26	93A31C	408156	30374F
FDEFB0	E7A8B1	B998B3	77779D	4771A3
663333	994D4D	CC6666	E6B280	FFFF99
53AC59	3B8952	0F684B	03484C	1C232E
111113	D18681	ACBFB7	F6EBDD	8E6D86
52BAA7	718F85	BA5252	FC0F52	FC3D73
EDAB8B	F5EBB0	DAD061	ACC59D	776C5A
CB7CA2	ED9DA1	C9E5AF	DCEEB1	FEF9F6
C8CFAE	96B397	525574	5C3E62	9B5F7B
5A372C	8B8B70	98C7B0	F0F0D8	C94B0C
D9DADE	BC0100	95040B	0C0304	2C3230
9ED99E	F0DDA6	EB6427	EB214E	1A1623
D3B390	B8A38B	A78B83	C76B79	F1416B
210210	EE2853	2B0215	8F2F45	D24D6C
3B234A	523961	BAAFC4	C3BBC9	D4C7BF
745E50	FF948B	FDAF8A	FCD487	F79585
E8D7A9	8EAA94	6B666D	6C3751	52223C
F2EABC	54736E	194756	080000	FF3B58
CCCC66	A6BF73	80B380	59A68C	339999
545454	7B8A84	8CBFAF	EDE7D5	B7CC18
C95C7A	DE9153	D6D644	DCEBAF	14888B
DAE5AB	E9A385	FA154B	87313F	604E48
ADDFD3	EAE3D0	DBC4B6	FFA5AA	EFD5C4
F0C0A8	F0D8A8	A8C090	789090	787878
000000	1693A5	D8D8C0	F0F0D8	FFFFFF
CEEBD1	B6DEB9	B1CCB4	AEBFAF	A6ADA7
AE0C3E	AFCCA8	F5EEC3	C7B299	33211C
473334	B3C8A7	FFEBB9	E3536C	DA1A29
880606	D53D0C	FF8207	231D1E	FCFCFC
5F545C	EB7072	F5BA90	F5E2B8	A2CAA5
FCBF6B	A9AD94	42302E	F6DAAB	DABD7B
BFE0C0	160921	F06E75	F2AF60	D0D26F
37193B	E75A7A	F59275	F5C273	AEB395
FBB498	F8C681	BEC47E	9BB78F	98908D
BAD3C6	F9D9AC	FCA483	F18886	7B7066
C3E6D4	F4F0E5	E0C4AE	E1918E	E15E6E
F23E02	FEF5C8	00988D	2C6B74	013750
F05C54	A17457	5C735E	3D615B	434247
FCBF6B	E58634	657A38	AFAB50	A9CCB9
332D27	8A0015	E30224	85725F	FAE1C0
000000	8F1414	E50E0E	F3450F	FCAC03
010F3C	7C0C44	D10A46	F7931B	D7D908
D0CF75	F8764E	DA2644	90044A	440A2A
EDDBC4	A3C9A7	FFB353	FF6E4A	5C5259
7D535F	F7E9CC	332022	D1949B	C2BDA7
413249	CCC591	E2B24C	EB783F	FF426A
C5B89F	FEFFD4	9E2D4A	450B1E	21000F
F0F0F0	D8D8D8	C0C0A8	604848	484848
5B1D99	0074B4	00B34C	FFD41F	FC6E3D
079EA6	1E0C42	F0077B	F5BE58	E3E0B3
FF8482	FFB294	F8D8A5	91BE95	635A49
13141A	A90448	FB3640	FDA543	17C69B
A88914	91A566	BED084	E9E199	FAEDCA
0D0F36	294380	69D2CD	B9F1D6	F1F6CE
666764	BA7A74	F38780	F6A27F	FCCC7F
FFFFFF	E9F3D9	666666	89AC10	A1C22D
FF1D44	FBEBAF	74BF9D	56A292	1C8080
E2D9DB	F2E5F9	D9E1DF	FF8A84	FE6763
CEE1D8	F6EEE0	FDA664	F04842	83563F
484848	006465	0F928C	00C9D2	BEEE3B
E1C78C	EDA011	DB6516	7A6949	ADAD8E
EB445B	F5938B	F0CDAB	F1E7C5	B6D4BB
C0D88C	F7A472	F07877	FA2A3A	0A5C5A
75D9B4	AA6B71	F2896F	FFB87F	FFEC72
680A1D	3F1719	FCEF9C	E8B666	BA2339
343635	D90057	E88700	77B8A6	FFE2BA
3E3433	F07F83	B29A78	9EAF83	75A480
FFBD87	FFD791	F7E8A6	D9E8AE	BFE3C0
A8AB9B	172A38	EC4B5D	F48773	E0C590
58706D	4B5757	7C8A6E	B0B087	E3E3D1
E0DA96	BADDA3	94E0B0	A6B5AE	B88BAD
2B2823	8FA691	D4CEAA	F9FADC	CC3917
C9B8A8	F8AF8C	A24D52	5A3044	391D34
A82F61	95708C	78B2A2	BCCB9C	DADFB3
75995A	AAC92D	E0D819	EEBB11	FD9B08
E46D29	BA4C57	4E3A3B	A59571	D0BC87
E0D1ED	F0B9CF	E63C80	C70452	4B004C
2D2137	F6F4F9	DC012B	FEFFFF	282536
FFED4A	58CC65	039BA6	215096	0C1C36
E84D5B	EAE2CF	B4CCB9	26979F	3B3B3B
E0D1BC	D7A793	95757A	4E344F	7D9097
5C4152	B4585D	D97F76	F7D0A9	A1C0AE
185B63	C0261C	BA460D	C59538	404040
5E1F28	8A2F2E	AE5543	F7BB75	83764C
F1D989	3E3932	0FBAB7	000C0C	E2E3A9
FAEFC2	A4AC9D	A27879	A4626C	F05D77
EB7F7F	EB9A7F	EBB57F	EBD07F	EBEB7F
F3D597	B6D89C	92CCB6	F87887	9E6B7C
C6D5AE	F1EA9B	F7C869	8F7B55	D6C584
E6AC84	AD9978	619177	161618	594C2A
5A5239	190A12	B3C9C1	CEC7B6	EEE9C7
BF9F88	E8C8A1	FCE4BE	F6A68D	F96153
E4E6C9	E6DAC6	D6C3B9	C2B48A	B37883
D92D7A	CD4472	C25C6A	B77463	AC8C5E
F4E1B8	9EC7B7	ACAA9B	A5826E	7E514B
